CODE,NAME
T001086001,主世帯数
T001086002,一戸建
T001086003,長屋建
T001086004,共同住宅
T001086005,共同住宅１・２階建
T001086006,共同住宅３～５階建
T001086007,共同住宅６～１０階建
T001086008,共同住宅１１階建以上
T001086009,その他
T001085001,住宅に住む一般世帯
T001085002,持ち家
T001085003,民営借家
T001081001,人口総数
T001081002,男
T001081003,女
T001081004,世帯総数
T001084001,一般世帯総数
T001084002,親族のみの世帯
T001084003,核家族世帯
T001084004,うち夫婦のみの世帯
T001084005,うち夫婦と子供から成る世帯
T001084006,核家族以外の世帯
T001084007,６歳未満世帯員のいる一般世帯総数
T001084008,１８歳未満世帯員のいる一般世帯総数
T001084009,６５歳以上世帯員のいる一般世帯総数
T001106001,総数
T001106002,農林漁業就業者世帯
T001106003,農林漁業・非農林漁業就業者混合世帯
T001106004,非農林漁業就業者世帯
T001106005,非就業者世帯
T001106006,分類不能の世帯
T001083001,一般世帯数（世帯人員６人以上含む）
T001083002,世帯人員１人
T001083003,世帯人員２人
T001083004,世帯人員３人
T001083005,世帯人員４人
T001083006,世帯人員５人
T001083007,一般世帯人員
T001083008,１世帯当たり人員